LINEAR PROBE WITH ALPHA = 0.659164
Iteration: 1
==============
LOCATION          KEY       PROBES    

0                 -9999     0         
1                 -9999     0         
2                 -9999     0         
3                 -9999     0         
4                 -9999     0         
5                 4359      1         
6                 -9999     0         
7                 -9999     0         
8                 8         1         
9                 631       1         
10                -9999     0         
11                -9999     0         
12                -9999     0         
13                1568      1         
14                635       2         
15                -9999     0         
16                2815      1         
17                4060      1         
18                2195      1         
19                638       4         
20                3438      4         
21                4686      1         
22                640       5         
23                -9999     0         
24                -9999     0         
25                4068      1         
26                648       1         
27                338       1         
28                -9999     0         
29                -9999     0         
30                3451      1         
31                4695      2         
32                -9999     0         
33                966       1         
34                -9999     0         
35                1279      1         
36                1280      1         
37                4078      3         
38                1593      1         
39                1282      2         
40                -9999     0         
41                -9999     0         
42                -9999     0         
43                3464      1         
44                -9999     0         
45                -9999     0         
46                -9999     0         
47                980       1         
48                -9999     0         
49                2848      1         
50                3470      2         
51                -9999     0         
52                4095      1         
53                3785      1         
54                676       1         
55                -9999     0         
56                2855      1         
57                2545      1         
58                2546      1         
59                4724      1         
60                4411      4         
61                -9999     0         
62                -9999     0         
63                2551      1         
64                1930      1         
65                2241      2         
66                1932      1         
67                685       5         
68                -9999     0         
69                1935      1         
70                -9999     0         
71                2870      1         
72                382       2         
73                -9999     0         
74                -9999     0         
75                -9999     0         
76                2564      1         
77                1632      1         
78                -9999     0         
79                1012      1         
80                3189      2         
81                3813      1         
82                82        1         
83                1638      1         
84                2261      1         
85                4128      1         
86                396       2         
87                1641      2         
88                -9999     0         
89                4443      1         
90                712       1         
91                401       2         
92                1336      1         
93                3514      1         
94                93        2         
95                2272      1         
96                4450      1         
97                1959      5         
98                4141      1         
99                4133      10        
100               1033      1         
101               3211      1         
102               724       1         
103               3213      1         
104               4147      1         
105               2904      1         
106               1969      4         
107               107       1         
108               416       4         
109               1349      5         
110               110       1         
111               4772      5         
112               730       5         
113               4144      13        
114               425       1         
115               1669      2         
116               3846      3         
117               736       4         
118               421       9         
119               3840      12        
120               1364      1         
121               2608      2         
122               728       17        
123               2913      10        
124               -9999     0         
125               -9999     0         
126               1059      1         
127               3859      1         
128               128       1         
129               2928      1         
130               2927      3         
131               1996      2         
132               1687      1         
133               755       1         
134               445       1         
135               757       1         
136               748       11        
137               3868      2         
138               2004      1         
139               -9999     0         
140               1384      1         
141               2628      2         
142               -9999     0         
143               4497      1         
144               -9999     0         
145               -9999     0         
146               2945      1         
147               -9999     0         
148               148       1         
149               2014      2         
150               -9999     0         
151               -9999     0         
152               -9999     0         
153               -9999     0         
154               4197      1         
155               -9999     0         
156               467       1         
157               4822      1         
158               158       1         
159               3889      3         
160               4200      4         
161               2027      1         
162               2335      5         
163               3273      1         
164               -9999     0         
165               -9999     0         
166               1099      1         
167               -9999     0         
168               -9999     0         
169               -9999     0         
170               -9999     0         
171               -9999     0         
172               -9999     0         
173               484       1         
174               4839      1         
175               -9999     0         
176               2353      1         
177               2354      1         
178               800       1         
179               -9999     0         
180               -9999     0         
181               1425      1         
182               2358      2         
183               1116      1         
184               2050      1         
185               -9999     0         
186               2985      1         
187               -9999     0         
188               3298      1         
189               -9999     0         
190               2056      1         
191               2367      2         
192               3302      1         
193               504       1         
194               2371      1         
195               505       2         
196               3614      4         
197               2685      1         
198               1748      6         
199               1132      1         
200               -9999     0         
201               -9999     0         
202               -9999     0         
203               -9999     0         
204               -9999     0         
205               4248      1         
206               205       2         
207               517       2         
208               3940      1         
209               -9999     0         
210               -9999     0         
211               4876      1         
212               -9999     0         
213               -9999     0         
214               -9999     0         
215               1148      1         
216               1460      1         
217               2704      2         
218               4880      4         
219               -9999     0         
220               -9999     0         
221               1154      1         
222               -9999     0         
223               -9999     0         
224               1157      1         
225               4579      1         
226               -9999     0         
227               2093      1         
228               1161      1         
229               539       2         
230               3962      1         
231               1785      2         
232               1165      1         
233               2720      2         
234               2100      1         
235               3031      4         
236               -9999     0         
237               237       1         
238               -9999     0         
239               -9999     0         
240               -9999     0         
241               -9999     0         
242               553       1         
243               -9999     0         
244               -9999     0         
245               1489      1         
246               1490      1         
247               -9999     0         
248               -9999     0         
249               3359      1         
250               -9999     0         
251               3050      1         
252               2740      1         
253               -9999     0         
254               1187      1         
255               2743      1         
256               2121      2         
257               879       1         
258               1502      1         
259               4610      4         
260               3059      1         
261               -9999     0         
262               -9999     0         
263               -9999     0         
264               264       1         
265               265       1         
266               -9999     0         
267               -9999     0         
268               1201      1         
269               2757      1         
270               3691      1         
271               4622      4         
272               2134      5         
273               2447      4         
274               1829      1         
275               891       7         
276               2759      6         
277               1832      1         
278               4942      2         
279               586       5         
280               2457      1         
281               4321      4         
282               2148      1         
283               905       1         
284               1839      1         
285               4950      1         
286               -9999     0         
287               3708      1         
288               -9999     0         
289               -9999     0         
290               -9999     0         
291               2779      1         
292               -9999     0         
293               -9999     0         
294               -9999     0         
295               -9999     0         
296               3406      1         
297               3718      1         
298               2474      2         
299               2785      3         
300               -9999     0         
301               2478      1         
302               -9999     0         
303               4968      1         
304               -9999     0         
305               -9999     0         
306               -9999     0         
307               2173      1         
308               -9999     0         
309               3419      1         
310               4974      2         

Avg # of probes: 2.020                

LINEAR PROBE WITH ALPHA = 0.804
Iteration: 1
==============
LOCATION          KEY       PROBES    

0                 -9999     0         
1                 3733      1         
2                 -9999     0         
3                 936       1         
4                 -9999     0         
5                 4359      1         
6                 -9999     0         
7                 -9999     0         
8                 8         1         
9                 631       1         
10                -9999     0         
11                -9999     0         
12                -9999     0         
13                1568      1         
14                635       2         
15                -9999     0         
16                2815      1         
17                4060      1         
18                2195      1         
19                638       4         
20                3438      4         
21                4686      1         
22                640       5         
23                4061      6         
24                335       1         
25                4068      1         
26                648       1         
27                338       1         
28                -9999     0         
29                -9999     0         
30                3451      1         
31                4695      2         
32                1275      2         
33                966       1         
34                3763      4         
35                1279      1         
36                1280      1         
37                4078      3         
38                1593      1         
39                1282      2         
40                1904      3         
41                -9999     0         
42                -9999     0         
43                3464      1         
44                -9999     0         
45                -9999     0         
46                1601      1         
47                980       1         
48                -9999     0         
49                2848      1         
50                3470      2         
51                -9999     0         
52                4095      1         
53                3785      1         
54                676       1         
55                -9999     0         
56                2855      1         
57                2545      1         
58                2546      1         
59                4724      1         
60                4411      4         
61                -9999     0         
62                684       1         
63                2551      1         
64                1930      1         
65                2241      2         
66                1932      1         
67                685       5         
68                4107      5         
69                1935      1         
70                -9999     0         
71                2870      1         
72                382       2         
73                72        2         
74                385       1         
75                -9999     0         
76                2564      1         
77                1632      1         
78                -9999     0         
79                1012      1         
80                3189      2         
81                3813      1         
82                82        1         
83                1638      1         
84                2261      1         
85                4128      1         
86                396       2         
87                1641      2         
88                2575      2         
89                4443      1         
90                712       1         
91                401       2         
92                1336      1         
93                3514      1         
94                93        2         
95                2272      1         
96                4450      1         
97                1959      5         
98                4141      1         
99                4133      10        
100               1033      1         
101               3211      1         
102               724       1         
103               3213      1         
104               4147      1         
105               2904      1         
106               1969      4         
107               107       1         
108               416       4         
109               1349      5         
110               110       1         
111               4772      5         
112               730       5         
113               4144      13        
114               425       1         
115               1669      2         
116               3846      3         
117               736       4         
118               421       9         
119               3840      12        
120               1364      1         
121               2608      2         
122               728       17        
123               2913      10        
124               2577      36        
125               3206      30        
126               1059      1         
127               3859      1         
128               128       1         
129               2928      1         
130               2927      3         
131               1996      2         
132               1687      1         
133               755       1         
134               445       1         
135               757       1         
136               748       11        
137               3868      2         
138               2004      1         
139               4177      6         
140               1384      1         
141               2628      2         
142               1993      16        
143               4497      1         
144               4767      43        
145               2590      44        
146               2945      1         
147               -9999     0         
148               148       1         
149               2014      2         
150               -9999     0         
151               462       1         
152               -9999     0         
153               -9999     0         
154               4197      1         
155               -9999     0         
156               467       1         
157               4822      1         
158               158       1         
159               3889      3         
160               4200      4         
161               2027      1         
162               2335      5         
163               3273      1         
164               2962      2         
165               2341      2         
166               1099      1         
167               3585      4         
168               2656      1         
169               169       1         
170               4211      3         
171               -9999     0         
172               -9999     0         
173               484       1         
174               4839      1         
175               -9999     0         
176               2353      1         
177               2354      1         
178               800       1         
179               1109      4         
180               -9999     0         
181               1425      1         
182               2358      2         
183               1116      1         
184               2050      1         
185               -9999     0         
186               2985      1         
187               -9999     0         
188               3298      1         
189               -9999     0         
190               2056      1         
191               2367      2         
192               3302      1         
193               504       1         
194               2371      1         
195               505       2         
196               3614      4         
197               2685      1         
198               1748      6         
199               1132      1         
200               2997      3         
201               502       11        
202               -9999     0         
203               -9999     0         
204               -9999     0         
205               4248      1         
206               205       2         
207               517       2         
208               3940      1         
209               520       1         
210               -9999     0         
211               4876      1         
212               3010      2         
213               -9999     0         
214               -9999     0         
215               1148      1         
216               1460      1         
217               2704      2         
218               4880      4         
219               -9999     0         
220               -9999     0         
221               1154      1         
222               -9999     0         
223               -9999     0         
224               1157      1         
225               4579      1         
226               -9999     0         
227               2093      1         
228               1161      1         
229               539       2         
230               3962      1         
231               1785      2         
232               1165      1         
233               2720      2         
234               2100      1         
235               3031      4         
236               3029      7         
237               237       1         
238               4583      10        
239               1481      3         
240               -9999     0         
241               -9999     0         
242               553       1         
243               4597      1         
244               -9999     0         
245               1489      1         
246               1490      1         
247               867       3         
248               -9999     0         
249               3359      1         
250               1804      2         
251               3050      1         
252               2740      1         
253               -9999     0         
254               1187      1         
255               2743      1         
256               2121      2         
257               879       1         
258               1502      1         
259               4610      4         
260               3059      1         
261               -9999     0         
262               573       1         
263               262       2         
264               264       1         
265               265       1         
266               -9999     0         
267               -9999     0         
268               1201      1         
269               2757      1         
270               3691      1         
271               4622      4         
272               2134      5         
273               2447      4         
274               1829      1         
275               891       7         
276               2759      6         
277               1832      1         
278               4942      2         
279               586       5         
280               2457      1         
281               4321      4         
282               2148      1         
283               905       1         
284               1839      1         
285               4950      1         
