LINEAR PROBE
==============
LOCATION,       KEY
0               ,339
1               ,-9999
2               ,33
3               ,3
4               ,97
5               ,873
6               ,99
7               ,69
8               ,35
9               ,9
10              ,-9999
11              ,569
12              ,42
13              ,44
14              ,14
15              ,-9999
16              ,-9999
17              ,-9999
18              ,-9999
19              ,-9999
20              ,-9999
21              ,52
22              ,332
23              ,22
24              ,-9999
25              ,-9999
26              ,987
27              ,89
28              ,-9999
29              ,773
30              ,123


Average number of probes: 1.400
DOUBLE HASH
==============
LOCATION,       KEY
0               ,-9999
1               ,-9999
2               ,33
3               ,3
4               ,97
5               ,873
6               ,99
7               ,69
8               ,339
9               ,9
10              ,35
11              ,569
12              ,-9999
13              ,44
14              ,14
15              ,-9999
16              ,-9999
17              ,42
18              ,-9999
19              ,-9999
20              ,-9999
21              ,52
22              ,332
23              ,-9999
24              ,-9999
25              ,22
26              ,987
27              ,89
28              ,-9999
29              ,773
30              ,123


Average number of probes: 1.250
