0                 -9999     0	34                18072     1	68                26192     1	102               15341     1	136               -9999     0	170               -9999     0	204               -9999     0	238               -9999     0	272               -9999     0	306               -9999     0	
1                 17728     1	35                4078      1	69                11572     5	103               22184     1	137               -9999     0	171               -9999     0	205               -9999     0	239               -9999     0	273               -9999     0	307               -9999     0	
2                 -9999     0	36                -9999     0	70                -9999     0	104               7879      1	138               -9999     0	172               23186     1	206               -9999     0	240               24809     1	274               -9999     0	308               -9999     0	
3                 -9999     0	37                21807     1	71                -9999     0	105               25607     1	139               21909     1	173               8569      2	207               -9999     0	241               -9999     0	275               -9999     0	309               -9999     0	
4                 -9999     0	38                -9999     0	72                10024     1	106               31205     2	140               17245     1	174               24743     1	208               21978     1	242               12371     1	276               -9999     0	310               29544     1	
5                 -9999     0	39                6881      1	73                10958     1	107               9735      14	141               24088     1	175               26297     3	209               -9999     0	243               30720     2	277               23602     1	
6                 3738      1	40                4083      1	74                -9999     0	108               25905     17	142               -9999     0	176               -9999     0	210               -9999     0	244               13928     1	278               18626     2	
7                 2805      2	41                -9999     0	75                13137     1	109               30573     15	143               -9999     0	177               -9999     0	211               12962     1	245               -9999     0	279               4944      1	
8                 20221     3	42                -9999     0	76                -9999     0	110               4464      1	144               6986      1	178               7331      1	212               15451     1	246               -9999     0	280               16141     1	
9                 -9999     0	43                43        1	77                -9999     0	111               1044      1	145               -9999     0	179               -9999     0	213               -9999     0	247               6467      1	281               22670     4	
10                -9999     0	44                13727     2	78                -9999     0	112               28393     21	146               -9999     0	180               28481     1	214               -9999     0	248               5535      1	282               23917     2	
11                -9999     0	45                4399      1	79                -9999     0	113               14087     22	147               28448     1	181               28793     1	215               1148      1	249               27927     2	283               5881      1	
12                8720      1	46                26170     1	80                -9999     0	114               4149      9	148               14453     2	182               2048      1	216               16699     1	250               -9999     0	284               25780     7	
13                -9999     0	47                6266      2	81                15009     1	115               15025     19	149               -9999     0	183               22575     1	217               10168     2	251               -9999     0	285               30449     4	
14                10899     1	48                21196     1	82                2570      1	116               -9999     0	150               -9999     0	184               -9999     0	218               23231     2	252               1807      1	286               7439      1	
15                7479      1	49                7510      4	83                17498     2	117               24064     1	151               -9999     0	185               12936     1	219               8302      4	253               -9999     0	287               3083      4	
16                638       1	50                8441      7	84                5990      4	118               17533     2	152               -9999     0	186               -9999     0	220               -9999     0	254               -9999     0	288               20503     1	
17                8725      1	51                -9999     0	85                -9999     0	119               11936     2	153               3885      1	187               809       1	221               -9999     0	255               29489     1	289               3399      1	
18                -9999     0	52                25243     1	86                23722     1	120               27799     1	154               23168     1	188               -9999     0	222               -9999     0	256               16738     2	290               26725     1	
19                -9999     0	53                2229      2	87                13459     2	121               10695     1	155               14150     1	189               -9999     0	223               4577      1	257               -9999     0	291               17706     2	
20                953       1	54                1918      3	88                -9999     0	122               3232      1	156               4510      1	190               19472     1	224               3644      2	258               -9999     0	292               3091      1	
21                31432     1	55                15294     1	89                -9999     0	123               -9999     0	157               20061     1	191               4856      1	225               9866      1	259               -9999     0	293               14288     1	
22                -9999     0	56                16539     1	90                30879     1	124               18473     1	158               31566     4	192               -9999     0	226               25728     1	260               19542     1	294               32016     1	
23                23037     1	57                10627     5	91                18440     1	125               -9999     0	159               29393     1	193               16987     1	227               1471      1	261               7414      1	295               10868     2	
24                18062     1	58                7516      7	92                29946     3	126               22829     1	160               23485     1	194               19787     1	228               18577     1	262               260       3	296               28285     2	
25                29570     1	59                15914     7	93                18440     3	127               -9999     0	161               -9999     0	195               12945     2	229               8004      1	263               29186     1	297               27976     1	
26                17750     4	60                -9999     0	94                29017     1	128               -9999     0	162               19133     1	196               -9999     0	230               1782      4	264               -9999     0	298               12112     5	
27                15888     1	61                24630     1	95                29951     1	129               7282      1	163               -9999     0	197               29742     1	231               6140      1	265               -9999     0	299               6208      1	
28                22420     1	62                20277     1	96                23110     1	130               30607     2	164               13226     1	198               7662      1	232               22308     6	266               -9999     0	300               31704     8	
29                8737      1	63                10015     1	97                2895      2	131               -9999     0	165               14781     2	199               -9999     0	233               12977     8	267               -9999     0	301               922       2	
30                12778     4	64                20276     4	98                25911     1	132               11017     1	166               9496      1	200               26324     1	234               4899      1	268               27947     1	302               29846     2	
31                6562      1	65                8773      1	99                10670     4	133               16305     1	167               -9999     0	201               -9999     0	235               28222     4	269               4000      2	303               19274     1	
32                24600     2	66                15927     1	100               17203     3	134               18171     2	168               -9999     0	202               3623      1	236               -9999     0	270               16442     1	304               7146      1	
33                -9999     0	67                18102     4	101               2900      1	135               7288      1	169               -9999     0	203               -9999     0	237               -9999     0	271               -9999     0	305               -9999     0	
