0                 310       2	34                -9999     0	68                2245      1	102               -9999     0	136               -9999     0	170               1103      1	204               2070      1	238               -9999     0	272               1205      1	306               3415      2	
1                 1553      4	35                346       1	69                4733      2	103               414       1	137               2625      1	171               -9999     0	205               1759      2	239               -9999     0	273               1206      1	307               2795      1	
2                 2490      1	36                2835      1	70                -9999     0	104               2591      2	138               -9999     0	172               -9999     0	206               2072      1	240               -9999     0	274               1826      4	308               -9999     0	
3                 4046      1	37                2836      1	71                -9999     0	105               2903      2	139               3249      1	173               -9999     0	207               3931      9	241               -9999     0	275               4007      1	309               931       1	
4                 2491      2	38                -9999     0	72                1005      1	106               1037      3	140               2006      1	174               -9999     0	208               2067      8	242               -9999     0	276               2142      1	310               4664      1	
5                 3426      1	39                -9999     0	73                384       1	107               -9999     0	141               -9999     0	175               -9999     0	209               -9999     0	243               1176      1	277               -9999     0	
6                 -9999     0	40                4705      1	74                1318      1	108               -9999     0	142               3874      1	176               -9999     0	210               4253      1	244               1177      1	278               4010      1	
7                 1873      1	41                973       2	75                2562      2	109               4152      1	143               2942      1	177               2976      1	211               4565      1	245               3355      1	279               4011      1	
8                 630       1	42                -9999     0	76                3804      5	110               1975      2	144               4496      3	178               1733      1	212               3633      1	246               2423      1	280               901       2	
9                 4985      1	43                -9999     0	77                3187      1	111               -9999     0	145               1078      1	179               1423      1	213               -9999     0	247               -9999     0	281               1213      2	
10                4986      1	44                -9999     0	78                78        1	112               3844      1	146               2012      1	180               -9999     0	214               4879      1	248               -9999     0	282               282       1	
11                4052      3	45                1289      1	79                390       1	113               1046      1	147               1701      2	181               2980      1	215               1459      1	249               -9999     0	283               1834      5	
12                1256      1	46                4400      1	80                1324      1	114               -9999     0	148               3879      2	182               4536      1	216               -9999     0	250               -9999     0	284               4948      2	
13                -9999     0	47                2845      2	81                -9999     0	115               -9999     0	149               2948      1	183               4848      1	217               -9999     0	251               2739      1	285               3395      1	
14                325       1	48                1292      1	82                -9999     0	116               -9999     0	150               2635      4	184               804       3	218               -9999     0	252               4605      2	286               2462      2	
15                -9999     0	49                1915      1	83                83        1	117               -9999     0	151               -9999     0	185               -9999     0	219               2707      1	253               -9999     0	287               4323      8	
16                -9999     0	50                3782      1	84                1328      1	118               1984      1	152               774       1	186               -9999     0	220               -9999     0	254               4297      1	288               288       1	
17                -9999     0	51                3472      1	85                1640      1	119               -9999     0	153               -9999     0	187               -9999     0	221               -9999     0	255               877       1	289               911       1	
18                4683      1	52                1918      1	86                -9999     0	120               742       1	154               -9999     0	188               2365      1	222               -9999     0	256               3676      2	290               601       1	
19                952       1	53                4718      1	87                709       1	121               3541      2	155               1710      1	189               -9999     0	223               -9999     0	257               3989      1	291               -9999     0	
20                3441      1	54                2542      1	88                1954      1	122               -9999     0	156               2333      1	190               -9999     0	224               -9999     0	258               4299      3	292               4024      1	
21                2197      2	55                677       1	89                398       3	123               -9999     0	157               779       1	191               -9999     0	225               -9999     0	259               -9999     0	293               -9999     0	
22                2510      1	56                1300      1	90                4444      1	124               4789      1	158               3268      1	192               -9999     0	226               -9999     0	260               1504      1	294               -9999     0	
23                1576      3	57                -9999     0	91                4442      4	125               -9999     0	159               3579      2	193               2059      1	227               3337      1	261               -9999     0	295               -9999     0	
24                1579      1	58                3479      1	92                -9999     0	126               1370      1	160               2646      3	194               -9999     0	228               -9999     0	262               3061      1	296               2162      1	
25                -9999     0	59                1614      1	93                -9999     0	127               2304      1	161               4204      1	195               2061      1	229               4272      1	263               3684      1	297               3407      1	
26                -9999     0	60                1615      1	94                -9999     0	128               4171      1	162               2649      2	196               -9999     0	230               2096      1	264               1508      1	298               -9999     0	
27                1582      1	61                993       2	95                -9999     0	129               3550      1	163               1401      7	197               -9999     0	231               2408      1	265               3374      2	299               2165      1	
28                -9999     0	62                4105      1	96                3517      1	130               441       1	164               164       1	198               -9999     0	232               543       1	266               2132      1	300               4031      2	
29                962       1	63                4728      1	97                719       1	131               1064      1	165               1720      1	199               2376      1	233               3032      1	267               1822      1	301               921       3	
30                -9999     0	64                -9999     0	98                2895      3	132               2929      3	166               -9999     0	200               4243      1	234               4898      2	268               -9999     0	302               1546      1	
31                1586      1	65                -9999     0	99                -9999     0	133               -9999     0	167               -9999     0	201               1756      1	235               3656      1	269               4934      1	303               -9999     0	
32                -9999     0	66                1310      1	100               1655      1	134               134       1	168               1723      1	202               1757      1	236               -9999     0	270               1203      1	304               1859      1	
33                1899      1	67                -9999     0	101               -9999     0	135               3245      1	169               3901      1	203               2069      1	237               -9999     0	271               2448      1	305               1238      1	
